"","PERIOD","country","adjtfr"
"1",1960,"AUT",0
"2",1961,"AUT",0
"3",1962,"AUT",0
"4",1963,"AUT",0
"5",1964,"AUT",0
"6",1965,"AUT",0
"7",1966,"AUT",0
"8",1967,"AUT",0
"9",1968,"AUT",0
"10",1969,"AUT",0
"11",1970,"AUT",0
"12",1971,"AUT",0
"13",1972,"AUT",0
"14",1973,"AUT",0
"15",1974,"AUT",0
"16",1975,"AUT",0
"17",1976,"AUT",0
"18",1977,"AUT",0
"19",1978,"AUT",0
"20",1979,"AUT",0
"21",1980,"AUT",0
"22",1981,"AUT",0
"23",1982,"AUT",0
"24",1983,"AUT",0
"25",1984,"AUT",0
"26",1985,"AUT",1.735
"27",1986,"AUT",1.705
"28",1987,"AUT",1.647
"29",1988,"AUT",1.6
"30",1989,"AUT",1.664
"31",1990,"AUT",1.614
"32",1991,"AUT",1.578
"33",1992,"AUT",1.6
"34",1993,"AUT",1.717
"35",1994,"AUT",1.801
"36",1995,"AUT",1.739
"37",1996,"AUT",1.731
"38",1997,"AUT",1.585
"39",1998,"AUT",1.563
"40",1999,"AUT",1.519
"41",2000,"AUT",1.583
"42",2001,"AUT",1.606
"43",2002,"AUT",1.681
"44",2003,"AUT",1.587
"45",2004,"AUT",1.638
"46",2005,"AUT",1.728
"47",2006,"AUT",1.687
"48",2007,"AUT",1.613
"49",2008,"AUT",1.704
"50",2009,"AUT",1.71
"51",2010,"AUT",1.789
"52",2011,"AUT",1.778
"53",2012,"AUT",1.712
"54",2013,"AUT",1.628
"55",2014,"AUT",1.68
"56",2015,"AUT",1.648
"57",2016,"AUT",1.622
"58",2017,"AUT",1.706
"59",2018,"AUT",1.718
"60",2019,"AUT",0
"61",2020,"AUT",0
"62",2021,"AUT",0
"63",2022,"AUT",0
"64",1960,"BLR",0
"65",1961,"BLR",0
"66",1962,"BLR",0
"67",1963,"BLR",0
"68",1964,"BLR",0
"69",1965,"BLR",2.097
"70",1966,"BLR",2.129
"71",1967,"BLR",2.301
"72",1968,"BLR",2.221
"73",1969,"BLR",1.998
"74",1970,"BLR",2.047
"75",1971,"BLR",2.166
"76",1972,"BLR",2.206
"77",1973,"BLR",2.106
"78",1974,"BLR",2.011
"79",1975,"BLR",1.969
"80",1976,"BLR",1.988
"81",1977,"BLR",1.911
"82",1978,"BLR",1.898
"83",1979,"BLR",1.881
"84",1980,"BLR",1.942
"85",1981,"BLR",1.987
"86",1982,"BLR",1.927
"87",1983,"BLR",2.092
"88",1984,"BLR",1.974
"89",1985,"BLR",2.106
"90",1986,"BLR",2.106
"91",1987,"BLR",1.921
"92",1988,"BLR",2.023
"93",1989,"BLR",1.781
"94",1990,"BLR",1.715
"95",1991,"BLR",1.695
"96",1992,"BLR",1.706
"97",1993,"BLR",1.687
"98",1994,"BLR",1.662
"99",1995,"BLR",1.556
"100",1996,"BLR",1.422
"101",1997,"BLR",1.378
"102",1998,"BLR",1.505
"103",1999,"BLR",1.583
"104",2000,"BLR",1.572
"105",2001,"BLR",1.521
"106",2002,"BLR",1.501
"107",2003,"BLR",1.465
"108",2004,"BLR",1.5
"109",2005,"BLR",1.458
"110",2006,"BLR",1.549
"111",2007,"BLR",1.675
"112",2008,"BLR",1.739
"113",2009,"BLR",1.788
"114",2010,"BLR",1.684
"115",2011,"BLR",1.621
"116",2012,"BLR",1.753
"117",2013,"BLR",1.86
"118",2014,"BLR",1.912
"119",2015,"BLR",1.915
"120",2016,"BLR",1.917
"121",2017,"BLR",1.666
"122",2018,"BLR",0
"123",2019,"BLR",0
"124",2020,"BLR",0
"125",2021,"BLR",0
"126",2022,"BLR",0
"127",1960,"BEL",0
"128",1961,"BEL",0
"129",1962,"BEL",0
"130",1963,"BEL",0
"131",1964,"BEL",0
